CH202_22HOH12,CS162_22HOH12,
1,22144002,Vo Ha,Minh,Female,09/02/2004,0642040120002
2,22144003,Do Thanh,Minh,Female,09/08/2004,0642040120003
3,22144004,Do Thi,Huy,Male,03/07/2004,0642040120004
4,22144005,Mai Chau,Minh,Female,05/02/2004,0642040120005
5,22144006,Dang Trung,Tin,Female,09/01/2004,0642040120006
6,22144007,Nguyen Ngoc,Huy,Male,07/07/2004,0642040120007
7,22144008,Nguyen Van,Duong,Female,05/08/2004,0642040120008
8,22144009,Mai Chau,Dang,Female,02/03/2004,0642040120009
9,22144010,Dang Thanh,Huy,Male,01/06/2004,0642040120010
10,22144011,Vo Quoc,Hung,Male,04/03/2004,0642040120011
11,22144012,Mai Chau,Dang,Female,01/06/2004,0642040120012
12,22144013,Bui Binh,Dang,Female,08/04/2004,0642040120013
13,22144014,Nguyen Thi,Hung,Male,09/07/2004,0642040120014
14,22144015,Dang Trung,An,Male,06/04/2004,0642040120015
15,22144016,Pham Chau,Huy,Male,05/09/2004,0642040120016
16,22144017,Tran Ngoc,Tin,Female,03/04/2004,0642040120017
17,22144018,Mai Thi,Hung,Male,06/08/2004,0642040120018
18,22144019,Tran Khoi,Minh,Female,02/08/2004,0642040120019
19,22144020,Do Binh,Minh,Female,07/02/2004,0642040120020
20,22144021,Nguyen Ngoc,Nghia,Male,04/05/2004,0642040120021
21,22144022,Le Thi,Huy,Male,01/05/2004,0642040120022
22,22144023,Do Binh,Nghia,Male,02/06/2004,0642040120023
23,22144024,Le Chau,Tin,Female,01/07/2004,0642040120024
24,22144025,Ngo Thi,Nghia,Male,06/09/2004,0642040120025
25,22144026,Tran Ngoc,Huy,Male,02/01/2004,0642040120026
26,22144027,Nguyen Trung,Nghia,Male,06/02/2004,0642040120027
27,22144028,Tran Trung,Phong,Female,06/06/2004,0642040120028
28,22144029,Mai Chau,Tin,Female,09/06/2004,0642040120029
29,22144030,Vo Trung,Nghia,Male,01/03/2004,0642040120030
30,22144031,Bui Thanh,Duong,Female,06/03/2004,0642040120031
31,22144032,Pham Binh,Phong,Female,02/07/2004,0642040120032
32,22144033,Vo Binh,Hung,Male,07/01/2004,0642040120033
33,22144034,Tran Ha,Nghia,Male,04/07/2004,0642040120034
34,22144035,Ngo Chau,Hung,Male,04/01/2004,0642040120035
35,22144036,Tran Ngoc,Hung,Male,08/07/2004,0642040120036
36,22144037,Vo Ngoc,Dang,Female,05/01/2004,0642040120037
37,22144038,Do Khoi,Duong,Female,07/01/2004,0642040120038
38,22144039,Le Quoc,Tin,Female,01/09/2004,0642040120039
39,22144040,Le Chau,Tin,Female,06/07/2004,0642040120040
