CS162_22CLC10,MTH252_22CLC10,PH202_22CLC10,
1,22100002,Do Khoi,Tin,Female,06/06/2004,0642040100002
2,22100003,Nguyen Binh,Phong,Female,03/09/2004,0642040100003
3,22100004,Tran Thanh,Dang,Female,04/08/2004,0642040100004
4,22100005,Ngo Binh,Huy,Male,04/08/2004,0642040100005
5,22100006,Mai Thanh,Duong,Female,04/05/2004,0642040100006
6,22100007,Mai Ngoc,Phong,Female,04/09/2004,0642040100007
7,22100008,Ngo Ngoc,Hung,Male,04/05/2004,0642040100008
8,22100009,Mai Trung,Nghia,Male,09/05/2004,0642040100009
9,22100010,Dang Quoc,Phong,Female,03/06/2004,0642040100010
10,22100011,Dang Chau,An,Male,03/07/2004,0642040100011
11,22100012,Vo Binh,Nghia,Male,08/02/2004,0642040100012
12,22100013,Do Quoc,Dang,Female,06/07/2004,0642040100013
13,22100014,Tran Thi,Minh,Female,07/01/2004,0642040100014
14,22100015,Mai Van,Duong,Female,06/06/2004,0642040100015
15,22100016,Nguyen Van,Tin,Female,05/05/2004,0642040100016
16,22100017,Ngo Thi,Minh,Female,05/09/2004,0642040100017
17,22100018,Dang Van,Hung,Male,01/01/2004,0642040100018
18,22100019,Nguyen Van,Tin,Female,06/08/2004,0642040100019
19,22100020,Le Khoi,Quan,Male,07/01/2004,0642040100020
20,22100021,Do Quoc,Quan,Male,04/04/2004,0642040100021
21,22100022,Le Ngoc,Quan,Male,03/05/2004,0642040100022
22,22100023,Ngo Binh,Dang,Female,07/05/2004,0642040100023
23,22100024,Tran Thanh,Phong,Female,06/05/2004,0642040100024
24,22100025,Dang Thi,Quan,Male,09/03/2004,0642040100025
25,22100026,Vo Ngoc,Hung,Male,09/09/2004,0642040100026
26,22100027,Nguyen Thanh,An,Male,09/01/2004,0642040100027
27,22100028,Tran Van,Hung,Male,02/04/2004,0642040100028
28,22100029,Vo Chau,Hung,Male,08/02/2004,0642040100029
29,22100030,Nguyen Thi,Hung,Male,07/06/2004,0642040100030
30,22100031,Dang Ha,Dang,Female,08/07/2004,0642040100031
31,22100032,Vo Chau,Huy,Male,01/03/2004,0642040100032
32,22100033,Pham Van,Phong,Female,09/05/2004,0642040100033
33,22100034,Nguyen Thi,Huy,Male,01/08/2004,0642040100034
34,22100035,Tran Van,Nghia,Male,02/02/2004,0642040100035
35,22100036,Tran Quoc,Minh,Female,01/04/2004,0642040100036
36,22100037,Dang Khoi,Nghia,Male,05/06/2004,0642040100037
37,22100038,Pham Thi,Dang,Female,01/07/2004,0642040100038
38,22100039,Tran Quoc,Huy,Male,08/09/2004,0642040100039
39,22100040,Nguyen Chau,Nghia,Male,09/01/2004,0642040100040
