CS162_22VP8,MTH252_22VP8,PH202_22VP8,
1,22092002,Ngo Thanh,Hung,Male,07/08/2004,064204080002
2,22092003,Vo Binh,Nghia,Male,04/07/2004,064204080003
3,22092004,Nguyen Chau,Tin,Female,08/08/2004,064204080004
4,22092005,Tran Thi,Duong,Female,08/02/2004,064204080005
5,22092006,Ngo Thi,Tin,Female,05/06/2004,064204080006
6,22092007,Mai Quoc,Dang,Female,05/09/2004,064204080007
7,22092008,Tran Khoi,Dang,Female,07/06/2004,064204080008
8,22092009,Pham Binh,Hung,Male,01/07/2004,064204080009
9,22092010,Le Binh,Minh,Female,08/01/2004,064204080010
10,22092011,Vo Thanh,An,Male,03/07/2004,064204080011
11,22092012,Tran Chau,Dang,Female,01/08/2004,064204080012
12,22092013,Dang Van,Duong,Female,05/02/2004,064204080013
13,22092014,Do Ha,Dang,Female,06/09/2004,064204080014
14,22092015,Pham Khoi,Phong,Female,08/03/2004,064204080015
15,22092016,Tran Thanh,Minh,Female,05/09/2004,064204080016
16,22092017,Ngo Trung,Duong,Female,03/07/2004,064204080017
17,22092018,Ngo Binh,Nghia,Male,04/05/2004,064204080018
18,22092019,Vo Quoc,Minh,Female,06/05/2004,064204080019
19,22092020,Nguyen Ngoc,Quan,Male,07/01/2004,064204080020
20,22092021,Do Ha,Tin,Female,02/03/2004,064204080021
21,22092022,Bui Ngoc,Minh,Female,07/05/2004,064204080022
22,22092023,Le Ha,Phong,Female,03/07/2004,064204080023
23,22092024,Ngo Ha,Hung,Male,03/02/2004,064204080024
24,22092025,Mai Quoc,Phong,Female,02/06/2004,064204080025
25,22092026,Vo Ha,Duong,Female,07/03/2004,064204080026
26,22092027,Vo Van,Nghia,Male,04/07/2004,064204080027
27,22092028,Bui Thi,An,Male,07/06/2004,064204080028
28,22092029,Tran Khoi,Nghia,Male,05/09/2004,064204080029
29,22092030,Pham Chau,An,Male,09/06/2004,064204080030
30,22092031,Ngo Ha,Duong,Female,06/09/2004,064204080031
31,22092032,Dang Ha,Duong,Female,04/08/2004,064204080032
32,22092033,Ngo Van,An,Male,07/07/2004,064204080033
33,22092034,Ngo Trung,Minh,Female,02/06/2004,064204080034
34,22092035,Nguyen Trung,An,Male,09/03/2004,064204080035
35,22092036,Pham Quoc,An,Male,02/02/2004,064204080036
36,22092037,Bui Chau,Huy,Male,04/06/2004,064204080037
37,22092038,Dang Khoi,Duong,Female,09/01/2004,064204080038
38,22092039,Nguyen Chau,Minh,Female,08/08/2004,064204080039
39,22092040,Ngo Ha,Minh,Female,09/04/2004,064204080040
